Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTNED,-1072
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTNEM,-1022
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,INTNSL,610
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,NPSHYD,443
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,NUCLEAR,4631
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,OCGT,0
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,OIL,0
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,OTHER,118
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,PS,-1550
FUELHH,2022-11-10T05:30:00Z,2022-11-10T05:00:00Z,2022-11-10,11,WIND,13313
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,BIOMASS,1534
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,CCGT,4164
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,COAL,0
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTELEC,-1024
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTEW,480
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTFR,-1028
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTIFA2,-1030
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTIRL,86
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTNED,-1074
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTNEM,-1014
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,INTNSL,210
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,NPSHYD,437
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,NUCLEAR,4635
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,OCGT,0
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,OIL,0
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,OTHER,101
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,PS,-1566
FUELHH,2022-11-10T05:00:00Z,2022-11-10T04:30:00Z,2022-11-10,10,WIND,13149
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,BIOMASS,1376
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,CCGT,4166
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,COAL,0
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTELEC,-1024
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTEW,504
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTFR,-1028
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTIFA2,-1030
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTIRL,64
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTNED,-1074
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTNEM,-1014
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,INTNSL,200
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,NPSHYD,444
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,NUCLEAR,4630
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,OCGT,0
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,OIL,0
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,OTHER,120
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,PS,-1406
FUELHH,2022-11-10T04:30:00Z,2022-11-10T04:00:00Z,2022-11-10,9,WIND,12935
FUELHH,2022-11-10T04:00:00Z,2022-11-10T03:30:00Z,2022-11-10,8,BIOMASS,1329
